Date,Open,High,Low,Close,Volume,Adj Close
2015-05-07,44.93,44.98,43.55,43.87,28194200,43.87
2015-05-06,41.31,41.73,41.21,41.66,13921000,41.66
2015-05-05,41.86,42.00,40.81,41.30,19278500,41.30
2015-05-04,42.50,42.55,41.83,42.04,14455200,42.04
2015-05-01,42.55,42.68,42.09,42.51,10457300,42.51
2015-04-30,43.12,43.31,42.26,42.57,14218600,42.57
2015-04-29,43.88,44.05,43.09,43.28,12680000,43.28
2015-04-28,44.34,44.57,43.94,44.34,7188300,44.34
2015-04-27,44.65,45.10,44.25,44.36,10840900,44.36
2015-04-24,43.73,44.71,43.69,44.52,11267500,44.52
2015-04-23,43.92,44.06,43.58,43.70,14274900,43.70
2015-04-22,44.58,44.85,43.67,43.98,32241200,43.98
2015-04-21,45.15,45.18,44.45,44.49,16103700,44.49
2015-04-20,44.73,44.91,44.41,44.66,10052900,44.66
2015-04-17,45.30,45.44,44.25,44.45,13591600,44.45
2015-04-16,45.82,46.13,45.53,45.78,13833100,45.78
2015-04-15,45.46,45.83,45.23,45.73,15039600,45.73
2015-04-14,44.82,45.64,44.79,45.53,12365800,45.53
2015-04-13,45.25,45.59,44.72,44.77,8837300,44.77
